VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/09/2022 06:21:58 AM,02/09/2022 06:33:46 AM,N,1,74,74,1,3.39,12,0,0.5,1.28,0,,0.3,14.08,1,1,0
2,02/09/2022 06:28:03 AM,02/09/2022 06:45:15 AM,N,1,130,192,1,4.09,15.5,0,0.5,0,0,,0.3,16.3,2,1,0
2,02/09/2022 06:29:35 AM,02/09/2022 06:40:24 AM,N,1,74,42,1,2.02,9.5,0,0.5,5,0,,0.3,15.3,1,1,0
2,02/09/2022 06:29:55 AM,02/09/2022 06:51:43 AM,N,1,75,231,1,7.84,24.5,0,0.5,3,0,,0.3,31.05,1,1,2.75
2,02/09/2022 06:29:55 AM,02/09/2022 07:54:45 AM,N,1,130,130,1,23.99,75.5,0,0.5,0,0,,0.3,76.3,2,1,0
1,02/09/2022 06:30:49 AM,02/09/2022 06:34:49 AM,N,1,41,166,1,0.6,5,0,0.5,0,0,,0.3,5.8,1,1,0
2,02/09/2022 06:31:33 AM,02/09/2022 06:37:30 AM,N,1,74,75,1,1.42,6.5,0,0.5,1.46,0,,0.3,8.76,1,1,0
2,02/09/2022 06:32:47 AM,02/09/2022 06:45:42 AM,N,1,244,166,1,3.47,13,0,0.5,0,0,,0.3,13.8,2,1,0
2,02/09/2022 06:35:25 AM,02/09/2022 06:42:19 AM,N,1,75,41,1,1.87,7.5,0,0.5,0,0,,0.3,8.3,2,1,0
2,02/09/2022 06:36:15 AM,02/09/2022 07:06:37 AM,N,1,82,239,1,7.01,26,0,0.5,7.39,0,,0.3,36.94,1,1,2.75
1,02/09/2022 06:37:59 AM,02/09/2022 06:45:31 AM,Y,1,42,166,1,1.3,7,0,0.5,1.56,0,,0.3,9.36,1,1,0
2,02/09/2022 06:41:00 AM,02/09/2022 06:51:00 AM,,,75,140,,2.39,12.21,0,0,2.65,0,,0.3,17.91,,,
1,02/09/2022 06:41:15 AM,02/09/2022 06:55:12 AM,N,1,74,236,1,2.2,11,2.75,0.5,2.47,0,,0.3,17.02,1,1,2.75
2,02/09/2022 06:41:24 AM,02/09/2022 06:53:04 AM,N,1,191,130,1,2.5,10.5,0,0.5,0,0,,0.3,11.3,2,1,0
2,02/09/2022 06:41:26 AM,02/09/2022 06:47:41 AM,N,1,74,75,1,0.96,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
1,02/09/2022 06:41:43 AM,02/09/2022 06:59:29 AM,N,1,42,239,1,2.9,14,2.75,0.5,2,0,,0.3,19.55,1,1,2.75
1,02/09/2022 06:41:56 AM,02/09/2022 06:52:44 AM,N,1,74,75,1,1.6,9,0,0.5,0,0,,0.3,9.8,1,1,0
2,02/09/2022 06:42:00 AM,02/09/2022 06:51:00 AM,,,244,235,,1.73,9.63,0,0,2.22,0,,0.3,12.15,,,
2,02/09/2022 06:42:16 AM,02/09/2022 06:47:44 AM,N,1,74,41,1,1.14,6.5,0,0.5,1.82,0,,0.3,9.12,1,1,0
2,02/09/2022 06:42:39 AM,02/09/2022 07:00:21 AM,N,1,74,244,1,4.39,16.5,0,0.5,3.46,0,,0.3,20.76,1,1,0
1,02/09/2022 06:43:43 AM,02/09/2022 06:53:30 AM,N,1,71,72,1,0,19.2,0,0.5,0,0,,0.3,20,1,1,0
2,02/09/2022 06:43:47 AM,02/09/2022 06:49:49 AM,N,1,74,41,1,1.37,6.5,0,0.5,1.46,0,,0.3,8.76,1,1,0
1,02/09/2022 06:45:25 AM,02/09/2022 07:06:52 AM,N,1,213,139,1,0,48.2,0,0.5,0,6.55,,0.3,55.55,1,1,0
2,02/09/2022 06:46:54 AM,02/09/2022 06:51:55 AM,N,1,75,140,2,1.7,6.5,0,0.5,0,0,,0.3,10.05,2,1,2.75
2,02/09/2022 06:47:33 AM,02/09/2022 06:56:38 AM,N,1,130,10,1,1.73,8.5,0,0.5,2.32,0,,0.3,11.62,1,1,0
1,02/09/2022 06:47:35 AM,02/09/2022 06:51:31 AM,N,1,166,151,1,0.9,5.5,0,0.5,1.25,0,,0.3,7.55,1,1,0
2,02/09/2022 06:50:18 AM,02/09/2022 06:57:24 AM,N,5,134,19,1,5.79,20,0,0,0,0,,0.3,20.3,1,2,0
2,02/09/2022 06:52:00 AM,02/09/2022 07:20:00 AM,,,61,138,,10.9,41.49,0,0,9.36,0,,0.3,51.15,,,
2,02/09/2022 06:52:10 AM,02/09/2022 07:01:35 AM,N,1,74,42,1,1.45,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
2,02/09/2022 06:52:48 AM,02/09/2022 06:59:56 AM,N,1,75,162,1,2.46,9,0,0.5,0,0,,0.3,12.55,2,1,2.75
2,02/09/2022 06:52:51 AM,02/09/2022 07:03:17 AM,N,1,74,75,1,1.87,9,0,0.5,0,0,,0.3,9.8,2,1,0
2,02/09/2022 06:55:07 AM,02/09/2022 07:02:55 AM,N,1,74,42,1,0.99,7,0,0.5,0,0,,0.3,7.8,2,1,0
2,02/09/2022 06:55:16 AM,02/09/2022 07:31:47 AM,N,1,92,129,1,7.01,26.5,0,0.5,0,0,,0.3,27.3,2,1,0
2,02/09/2022 06:55:17 AM,02/09/2022 07:08:22 AM,N,1,41,75,1,2.02,10.5,0,0.5,2,0,,0.3,13.3,1,1,0
2,02/09/2022 06:55:32 AM,02/09/2022 07:07:41 AM,N,1,74,43,1,1.63,9.5,0,0.5,2.06,0,,0.3,12.36,1,1,0
2,02/09/2022 06:55:38 AM,02/09/2022 07:07:08 AM,N,1,74,75,1,1.3,8.5,0,0.5,2.79,0,,0.3,12.09,1,1,0
1,02/09/2022 06:55:49 AM,02/09/2022 07:42:32 AM,N,1,228,43,1,0,45.2,0,0.5,0,6.55,,0.3,52.55,1,1,0
1,02/09/2022 06:56:57 AM,02/09/2022 07:06:06 AM,N,1,166,239,2,1.9,9,2.75,0.5,1.26,0,,0.3,13.81,1,1,2.75
1,02/09/2022 06:58:55 AM,02/09/2022 07:07:40 AM,N,1,74,43,1,1.3,7.5,0,0.5,1.65,0,,0.3,9.95,1,1,0
1,02/09/2022 07:00:38 AM,02/09/2022 07:21:52 AM,N,1,41,119,1,0,17.2,0,0.5,0,0,,0.3,18,1,1,0
2,02/09/2022 07:00:46 AM,02/09/2022 07:24:48 AM,N,1,33,161,1,7.33,24,0,0.5,8.26,0,,0.3,35.81,1,1,2.75
1,02/09/2022 07:00:57 AM,02/09/2022 07:03:04 AM,N,1,226,226,0,0.3,3.5,0,0.5,0,0,,0.3,4.3,2,1,0
2,02/09/2022 07:01:25 AM,02/09/2022 07:07:44 AM,N,1,74,41,1,1.28,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
1,02/09/2022 07:02:44 AM,02/09/2022 07:11:21 AM,N,1,20,31,1,0,15.2,0,0.5,0,0,,0.3,16,1,1,0
2,02/09/2022 07:03:16 AM,02/09/2022 07:10:38 AM,N,1,74,75,2,1.17,6.5,0,0.5,1.46,0,,0.3,8.76,1,1,0
2,02/09/2022 07:04:30 AM,02/09/2022 07:11:51 AM,N,1,74,74,1,2.19,9.5,0,0.5,3.09,0,,0.3,13.39,1,1,0
1,02/09/2022 07:06:04 AM,02/09/2022 07:15:28 AM,N,1,74,41,1,1.5,8,0,0.5,0,0,,0.3,8.8,2,1,0
2,02/09/2022 07:06:13 AM,02/09/2022 07:20:04 AM,N,1,95,196,1,2.19,11,0,0.5,0,0,,0.3,11.8,2,1,0
2,02/09/2022 07:06:43 AM,02/09/2022 07:20:57 AM,N,1,42,151,1,2.56,11,0,0.5,0.59,0,,0.3,12.39,1,1,0
2,02/09/2022 07:08:33 AM,02/09/2022 07:16:10 AM,N,1,7,145,1,1.47,7,0,0.5,1.56,0,,0.3,9.36,1,1,0
2,02/09/2022 07:08:37 AM,02/09/2022 07:15:11 AM,N,1,75,168,1,2.5,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
2,02/09/2022 07:09:30 AM,02/09/2022 07:48:06 AM,N,1,129,236,2,5.66,25.5,0,0.5,3,0,,0.3,32.05,1,1,2.75
2,02/09/2022 07:09:53 AM,02/09/2022 07:18:03 AM,N,1,74,75,1,1.41,7,0,0.5,1.95,0,,0.3,9.75,1,1,0
2,02/09/2022 07:10:15 AM,02/09/2022 07:41:16 AM,N,1,97,227,2,2.39,20,0,0.5,10,0,,0.3,30.8,1,1,0
1,02/09/2022 07:10:16 AM,02/09/2022 07:18:35 AM,N,1,74,152,1,1.4,8,0,0.5,1.75,0,,0.3,10.55,1,1,0
2,02/09/2022 07:12:06 AM,02/09/2022 07:26:57 AM,N,1,75,42,1,3.59,14,0,0.5,0,0,,0.3,14.8,1,1,0
2,02/09/2022 07:13:10 AM,02/09/2022 07:29:03 AM,N,1,263,159,1,3.64,15,0,0.5,0,0,,0.3,15.8,2,1,0
2,02/09/2022 07:13:10 AM,02/09/2022 07:25:28 AM,N,1,130,130,1,1.71,9.5,0,0.5,0,0,,0.3,10.3,2,1,0
2,02/09/2022 07:13:27 AM,02/09/2022 07:28:47 AM,N,1,116,143,5,4.65,16,0,0.5,3.91,0,,0.3,23.46,1,1,2.75
2,02/09/2022 07:13:36 AM,02/09/2022 07:21:12 AM,N,1,74,41,1,1.21,7,0,0.5,0,0,,0.3,7.8,2,1,0
2,02/09/2022 07:16:00 AM,02/09/2022 07:45:00 AM,,,116,262,,5.24,21.7,0,0,5.81,0,,0.3,30.56,,,
